event_id,weeks,req_room_type,size,L_slots,assigned_day,assigned_start_hour,room_id,room_campus
E:3Q2U1UQ7G2_1,"28, 29, 30, 32, 33, 34, 35, 36",General Teaching,25,2,Friday,13,,
E:YOKOEB1F9G_1,"32, 33, 34, 35, 36",General Teaching,50,2,Wednesday,9,,
E:GJRI8KICTK_1,"11, 12, 13, 15, 16, 17, 18, 19",General Teaching,15,1,Monday,15,,
E:8X4TB9ABF7_1,"26, 27, 29, 30, 32, 33, 34, 36",General Teaching,55,2,Friday,14,,
E:ETEHJR9GYQ_1,"27, 28, 29, 30, 32, 33, 34, 35, 36",General Teaching,9,1,Tuesday,14,,
E:OKOC2E3185_1,"26, 27, 28, 29, 30",General Teaching,65,2,Friday,14,,
E:3XJMXLPYLX_1,"27, 28, 29, 30, 32",General Teaching,12,2,Thursday,15,,
E:MXW8NPPL6F_1,"27, 28, 29, 30",General Teaching,40,2,Friday,15,,
E:VG9L5USKOI_1,"15, 16, 17, 18, 19",No room required,30,2,Monday,9,,
E:VLMR7J6V6M_1,"11, 13, 16, 18",General Teaching,12,2,Wednesday,16,,
E:HPFBN1MB8L_1,"15, 16, 18, 19",General Teaching,80,2,Thursday,14,,
E:C42KUJDGFU_1,"26, 27, 28, 29, 30",General Teaching,30,2,Friday,14,,
E:O39T887DWO_1,"28, 29, 30, 32, 33, 34, 35, 36",General Teaching,24,2,Thursday,16,,
E:6FRJVBPJZP_1,"26, 27, 28, 29, 30",Computer Laboratory,20,1,Tuesday,13,,
E:716SNBJJ7K_1,"26, 27, 28, 29, 30",Computer Laboratory,32,2,Friday,15,,
E:N3E7F4QURW_1,"26, 27, 28, 29, 30",General Teaching,140,2,Friday,14,,
E:UONH8XKYVA_1,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36",General Teaching,80,2,Wednesday,9,,
E:1MXQMB99QX_1,"11, 12, 13, 15, 16, 17, 18",General Teaching,24,1,Wednesday,12,,
E:XUMNGC5HE9_1,"32, 33, 34, 35, 36",General Teaching,50,1,Friday,15,,
E:NHSDU4BWHI_1,"13, 17",No room required,95,1,Monday,9,,
E:Z3QULIBIDY_1,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36",General Teaching,15,2,Wednesday,13,,
E:PAMPWNGAJM_1,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36",General Teaching,55,2,Tuesday,10,,
E:A9OL7TYFHW_1,"9, 10, 11, 12, 13, 15, 16, 17, 18, 19",General Teaching,65,1,Monday,10,,
E:C7RJBCI3TN_1,"10, 11, 12, 13, 14, 15, 16, 17, 18",General Teaching,20,1,Wednesday,13,,
E:8XDLF5ZN2C_1,"11, 12, 13, 15, 17, 18",General Teaching,21,2,Tuesday,10,,
E:1PLGONRXU8_1,"11, 12, 13, 15, 16, 17, 18",General Teaching,23,2,Wednesday,11,,
E:EOYUV6JNIB_1,"9, 11, 13, 15, 17",Computer Laboratory,30,1,Friday,12,,
E:4ML7P8PA58_1,"9, 10",General Teaching,200,2,Friday,10,,
E:4XICMK913K_1,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37",General Teaching,21,1,Tuesday,17,,
E:A574KW9WS7_1,"26, 27, 28, 29, 30, 32, 33, 35, 36",General Teaching,85,1,Friday,16,,
E:8TDBN759QY_1,"11, 12, 13, 15, 16, 17, 18, 19",General Teaching,25,2,Wednesday,15,,
E:89NDT5X2DC_1,"9, 10, 11, 12, 13, 15, 16, 17, 18, 19",General Teaching,90,2,Wednesday,12,,
E:ECBICJTZXO_1,"28, 29, 30, 32, 33, 34, 35, 36",General Teaching,20,1,Thursday,10,,
E:M55JHVTPAV_1,"26, 27, 28, 29, 30",General Teaching,60,2,Friday,14,,
E:OEL34I8T3P_1,"28, 29, 30, 32, 33, 34, 35, 36",General Teaching,18,1,Thursday,13,,
E:4XO4ED7VDN_1,"27, 28, 29, 30, 32, 33, 34, 35, 36, 37",General Teaching,60,2,Thursday,15,,
E:ZSLLAGE28C_1,"11, 12, 13, 15, 16, 17, 18, 19",General Teaching,30,2,Thursday,15,,
E:2YTXK9M2AD_1,"28, 29, 30, 32, 33, 34, 35, 36",General Teaching,18,1,Monday,12,,
E:SXA8ROPR2P_1,"11, 12, 13, 15, 16, 17, 18, 19",General Teaching,16,1,Tuesday,15,,
E:ZDAO5OXARB_1,"26, 27, 28, 29, 30, 31, 32, 33",No room required,30,2,Monday,9,,
