event1,event2,shared_students,week,day,start1,end1,start2,end2
E:5KZVHC416O-00002,E:5KZVHC416O-00006,21,10,Wednesday,3,5,3,5
E:5KZVHC416O-00003,E:5KZVHC416O-00005,21,10,Wednesday,4,6,3,5
E:5KZVHC416O-00003,E:5KZVHC416O-00006,21,10,Wednesday,4,6,3,5
E:5KZVHC416O-00005,E:5KZVHC416O-00006,21,10,Wednesday,3,5,3,5
E:5KZVHC416O-00007,E:5KZVHC416O-00008,21,10,Thursday,5,7,5,7
E:5KZVHC416O-00009,E:6AKF7XKVYR,21,19,Thursday,4,8,2,6
E:5KZVHC416O-00009,E:7MPW76D9GG,21,19,Thursday,4,8,2,6
E:5KZVHC416O-00009,E:BJ7ZSBEAK9-00001,21,19,Thursday,4,8,5,8
E:6AKF7XKVYR,E:7MPW76D9GG,21,19,Thursday,2,6,2,6
E:6AKF7XKVYR,E:BJ7ZSBEAK9-00001,21,19,Thursday,2,6,5,8
E:7MPW76D9GG,E:BJ7ZSBEAK9-00001,21,19,Thursday,2,6,5,8
E:7TJ6KQZV8M,E:KKRV87WMI3-00001,21,32,Monday,4,8,3,5
E:84ZKZB9BJG,E:BX3XMLYTHR,21,19,Tuesday,2,6,5,9
E:84ZKZB9BJG,E:N9I64CUBC2,21,19,Tuesday,2,6,0,4
E:84ZKZB9BJG,E:R1RH9GF3QV,21,19,Tuesday,2,6,2,6
E:BX3XMLYTHR,E:R1RH9GF3QV,21,19,Tuesday,5,9,2,6
E:KKRV87WMI3,E:KKRV87WMI3-00005,21,32,Wednesday,5,7,5,7
E:KKRV87WMI3,E:KKRV87WMI3-00008,21,32,Wednesday,5,7,5,7
E:KKRV87WMI3-00002,E:KKRV87WMI3-00007,21,32,Tuesday,2,4,2,4
E:KKRV87WMI3-00003,E:KKRV87WMI3-00004,21,32,Wednesday,1,3,1,3
E:KKRV87WMI3-00005,E:KKRV87WMI3-00008,21,32,Wednesday,5,7,5,7
E:N9I64CUBC2,E:R1RH9GF3QV,21,19,Tuesday,0,4,2,6
E:ONL1HKH6OA,E:QI9KPJYVUH,21,19,Monday,5,9,5,9
E:2W4L22EIJ9,E:3KNM4VWI5R,11,10,Friday,1,2,0,2
E:3KNM4VWI5R,E:75MF1H1OMY,11,11,Friday,0,2,1,2
E:3VYQJFAKEQ,E:X667OIMGU6,10,15,Tuesday,0,1,0,2
E:4VME7FOV7R,E:P26CNDABEP,11,15,Monday,4,5,4,6
E:5MGR2R128Q,E:P26CNDABEP,11,18,Monday,4,5,4,6
E:97RHDBMLTI,E:X667OIMGU6,10,16,Tuesday,0,1,0,2
E:E1JL6SO352,E:M7U7IMUT47-00001,1,25,Monday,1,3,1,3
E:FEBW3WMGBM,E:OIH3VVYAZR,11,17,Thursday,3,5,4,7
E:FTX3BR5OKI,E:FXEQRQ6B36,2,11,Tuesday,1,4,3,5
E:FTX3BR5OKI,E:X667OIMGU6,5,9,Tuesday,1,4,0,2
