event_id,weeks,req_room_type,size,L_slots,assigned_day,assigned_start_hour,room_id,room_campus,week
E:6SWGFLGAKD,"10, 14",No room required,24,2,Monday,9,,,14
E:SAVNSZ8CHL,"28, 30",Computer Laboratory,28,1,Monday,14,0555_00_G.06,Holyrood,28
E:SAVNSZ8CHL,"28, 30",Computer Laboratory,28,1,Monday,14,0613_01_1.1512,Kings Buildings,30
E:XXNJO7CEHD,"11, 17",Computer Laboratory,44,1,Friday,15,0226_01_1.12,Central,17
E:XXNJO7CEHD,"11, 17",Computer Laboratory,44,1,Friday,15,0226_01_1.12,Central,11
E:FKNT5BCN6S,"11, 12",General Teaching,24,2,Friday,15,0564_03_3.15,Holyrood,11
E:FKNT5BCN6S,"11, 12",General Teaching,24,2,Friday,15,0219_00_G.02,Central,12
E:G1SCURZTTV,"28, 29",General Teaching,22,1,Tuesday,14,0001_01_1.274,Central,28
E:G1SCURZTTV,"28, 29",General Teaching,22,1,Tuesday,14,0001_01_1.265,Central,29
E:CWSZZMQ9EQ,"26, 27",Computer Laboratory,44,1,Thursday,11,0226_01_1.12,Central,26
E:CWSZZMQ9EQ,"26, 27",Computer Laboratory,44,1,Thursday,11,0226_01_1.12,Central,27
E:588NBH5L6U,"27, 28",General Teaching,10,1,Tuesday,12,0214_00_G.23,Central,27
E:588NBH5L6U,"27, 28",General Teaching,10,1,Tuesday,12,0728_01_1.45,Easter Bush,28
E:UO5JDWPJPF,"10, 12",General Teaching,15,1,Wednesday,14,0228_11_11.11,Central,10
E:UO5JDWPJPF,"10, 12",General Teaching,15,1,Wednesday,14,0113_00_G.12,Central,12
E:JANPI6NTLI,"11, 12",General Teaching,19,1,Thursday,15,0654_00_G.13,Kings Buildings,11
E:JANPI6NTLI,"11, 12",General Teaching,19,1,Thursday,15,0654_00_G.13,Kings Buildings,12
E:N826VTZKXB,"11, 12",General Teaching,19,1,Monday,15,0003_01_1.04,Central,11
E:N826VTZKXB,"11, 12",General Teaching,19,1,Monday,15,0654_00_G.13,Kings Buildings,12
E:JOUB7555HW,"11, 12",General Teaching,25,1,Wednesday,9,0228_04_4.18,Central,11
E:JOUB7555HW,"11, 12",General Teaching,25,1,Wednesday,9,0228_04_4.18,Central,12
E:ZRCSXQXWDM,"10, 11",General Teaching,80,2,Friday,11,2716_00_G.18,Bioquarter,10
E:ZRCSXQXWDM,"10, 11",General Teaching,80,2,Friday,11,0401_01_1.01,New College,11
E:RAD7HST47V,"12, 13",General Teaching,30,1,Monday,10,0227_00_G.01,Central,12
E:RAD7HST47V,"12, 13",General Teaching,30,1,Monday,10,0335_00_G.10,Central,13
E:IP4FLLNKA5,"15, 16",General Teaching,32,2,Wednesday,12,0335_00_G.10,Central,16
E:IP4FLLNKA5,"15, 16",General Teaching,32,2,Wednesday,12,0335_00_G.10,Central,15
E:RV6J6RK16I,"11, 12",General Teaching,18,1,Tuesday,16,0227_03_3.39,Central,11
E:RV6J6RK16I,"11, 12",General Teaching,18,1,Tuesday,16,0228_07_7.01,Central,12
E:N3E7F4QURW-00001,"32, 33",General Teaching,140,2,Monday,10,0226_00_GF.14,Central,32
E:N3E7F4QURW-00001,"32, 33",General Teaching,140,2,Monday,10,0226_00_GF.14,Central,33
E:HT9QV2UIE3,"9, 10",General Teaching,32,2,Monday,12,0335_00_G.09,Central,9
E:HT9QV2UIE3,"9, 10",General Teaching,32,2,Monday,12,0335_00_G.09,Central,10
E:XW6X1TW8IQ,"32, 33",Computer Laboratory,28,1,Thursday,12,0555_00_G.06,Holyrood,32
E:XW6X1TW8IQ,"32, 33",Computer Laboratory,28,1,Thursday,12,0613_01_1.1512,Kings Buildings,33
E:O4T7BT9JA9,"26, 27",General Teaching,22,1,Monday,9,2701_01_FU222,Bioquarter,26
E:O4T7BT9JA9,"26, 27",General Teaching,22,1,Monday,9,2701_01_FU222,Bioquarter,27
E:5KIH6HSQ4S,"10, 11",General Teaching,50,1,Wednesday,10,0612_07_7.15,Kings Buildings,10
E:5KIH6HSQ4S,"10, 11",General Teaching,50,1,Wednesday,10,0113_00_G.03,Central,11
E:9FJEIZPENZ,"15, 16",General Teaching,65,1,Thursday,16,0226_-1_LG.18,Central,16
E:9FJEIZPENZ,"15, 16",General Teaching,65,1,Thursday,16,0226_-1_LG.11,Central,15
E:MGVBOQGWFP,"15, 16",General Teaching,33,2,Wednesday,12,0558_03_3.4,Holyrood,16
E:MGVBOQGWFP,"15, 16",General Teaching,33,2,Wednesday,12,0558_03_3.4,Holyrood,15
E:8Z355SAB1H,"26, 27",General Teaching,100,1,Tuesday,10,0227_00_G.04,Central,26
E:8Z355SAB1H,"26, 27",General Teaching,100,1,Tuesday,10,0227_00_G.04,Central,27
E:8KUEQJ5VRX,"11, 17",Computer Laboratory,44,1,Monday,11,0201_05_5.05,Central,17
E:8KUEQJ5VRX,"11, 17",Computer Laboratory,44,1,Monday,11,0226_01_1.12,Central,11
E:IS78F6L5ZY,"26, 27",General Teaching,110,1,Tuesday,10,0131_04_4.07,Central,26
E:IS78F6L5ZY,"26, 27",General Teaching,110,1,Tuesday,10,0131_04_4.07,Central,27
E:6KRU79RDA1,"11, 12",General Teaching,16,1,Monday,15,0335_03_3.4,Central,11
E:6KRU79RDA1,"11, 12",General Teaching,16,1,Monday,15,0558_02_2.2,Holyrood,12
E:ZTCWDTMDDJ,"28, 29",Computer Laboratory,13,1,Friday,11,0621_01_1.301,Kings Buildings,28
E:ZTCWDTMDDJ,"28, 29",Computer Laboratory,13,1,Friday,11,0558_00_G.14,Holyrood,29
E:YM5KKR5O56,"26, 27",General Teaching,10,2,Friday,13,0551_00_G30,Holyrood,26
E:YM5KKR5O56,"26, 27",General Teaching,10,2,Friday,13,0227_02_2.30,Central,27
