event_id,weeks,req_room_type,size,L_slots,assigned_day,assigned_start_hour,room_id,room_campus
E:FDJ9QYAVLT,"11, 12",General Teaching,16,1,Tuesday,16,,
E:SBNMTQ1G67,"11, 12",General Teaching,19,1,Monday,17,,
E:MZIX5D9P7R,"27, 28",General Teaching,14,1,Tuesday,10,,
E:3F6VSVEDU4,"10, 11",General Teaching,14,1,Tuesday,14,,
E:N21NUL9VOR,"9, 10",General Teaching,68,2,Monday,12,,
E:BK4TWN82B9,"28, 30",General Teaching,20,2,Friday,11,,
E:TANU11TULD,"9, 10",No room required,400,1,Monday,9,,
E:9DLQ46OE8N,"28, 29",General Teaching,22,1,Tuesday,11,,
E:88R3DZOSPF,"27, 28",General Teaching,30,2,Friday,14,,
E:B922FID7RD,"10, 11",General Teaching,12,1,Thursday,11,,
E:KRQ8RJOVT3,"35, 36",General Teaching,10,2,Monday,9,,
E:YAC8BVOCXC,"13, 15",Computer Laboratory,42,1,Friday,13,,
E:IHJ4VH251V,"9, 10",General Teaching,25,1,Monday,14,,
E:PB5KXBTZPO,"9, 10",General Teaching,85,2,Monday,12,,
E:5ABWVOJL5Q,"28, 34",Computer Laboratory,40,1,Wednesday,9,,
E:BQ1YRBY6MQ,"11, 12",General Teaching,15,1,Monday,13,,
E:9R296S9FCK,"10, 12",General Teaching,20,1,Wednesday,9,,
E:KLTU8MVIEE,"32, 33",General Teaching,60,1,Wednesday,16,,
E:5KGW67LFGX,"10, 11",General Teaching,20,1,Monday,9,,
E:YEYGNYT4VV,"9, 10",General Teaching,45,2,Monday,12,,
E:PCA1GSGFYX,"27, 33",Computer Laboratory,40,1,Wednesday,17,,
E:3LL7US3EZV,"10, 11",General Teaching,17,1,Thursday,14,,
E:D8LR413T5D,"17, 18",General Teaching,35,1,Tuesday,9,,
E:IY5B1GEGLS,"10, 11",General Teaching,25,1,Monday,13,,
E:Q8SJKS6C5L,"28, 29",General Teaching,18,1,Thursday,14,,
E:H58FOEWHHN,"11, 12",General Teaching,16,1,Tuesday,14,,
E:CORMD518YF,"32, 33",General Teaching,45,1,Wednesday,13,,
E:HE5R3QAHII,"9, 10",General Teaching,147,1,Tuesday,13,,
E:RYX2OEOG2E,"11, 12",General Teaching,15,1,Monday,13,,
E:7QYBSY2HCY,"9, 10",General Teaching,40,2,Monday,12,,
